Algorithmus;k;iter;stdev;reg;lr;Data_rep;test;m(AE);M(AE);m(RE);M(RE);gini
mcmc;4;1000;0.1;0;0;indicators;FALSE;2.815251971;2.24889;1.348765413;0.67332;0.284121189
mcmc;4;1200;0.1;0;0;indicators;FALSE;2.771557435;2.2018;1.320220292;0.67087;0.310816684
mcmc;4;1400;0.1;0;0;indicators;FALSE;2.759538595;2.21393;1.316740277;0.670525;0.323383722
mcmc;4;1600;0.1;0;0;indicators;FALSE;2.771435676;2.21837;1.32446282;0.673285833;0.311302993
mcmc;4;1800;0.1;0;0;indicators;FALSE;2.801464456;2.22204;1.337543938;0.667111818;0.298949474
mcmc;4;2000;0.1;0;0;indicators;FALSE;2.760565311;2.21034;1.316383659;0.669318182;0.319700599
mcmc;6;200;0.1;0;0;indicators;FALSE;2.9158498;2.28001;1.381876167;0.674167857;0.243567147
mcmc;6;400;0.1;0;0;indicators;FALSE;2.881175662;2.26047;1.37924362;0.6726025;0.255184593
mcmc;6;600;0.1;0;0;indicators;FALSE;2.835548788;2.23737;1.356509232;0.672449231;0.276380417
mcmc;6;800;0.1;0;0;indicators;FALSE;2.804823257;2.23038;1.338650687;0.671746;0.291516446
mcmc;6;1000;0.1;0;0;indicators;FALSE;2.768306797;2.20181;1.319716235;0.671431429;0.314295243
mcmc;6;1200;0.1;0;0;indicators;FALSE;2.835711549;2.23051;1.356734411;0.67307;0.278996192
mcmc;6;1400;0.1;0;0;indicators;FALSE;2.801795225;2.21496;1.336732288;0.671961765;0.294660054
mcmc;6;1600;0.1;0;0;indicators;FALSE;2.822623005;2.23794;1.351825464;0.67383;0.287385264
mcmc;6;1800;0.1;0;0;indicators;FALSE;2.799539137;2.2114;1.341498939;0.672;0.302244069
mcmc;6;2000;0.1;0;0;indicators;FALSE;2.770729874;2.20125;1.318574685;0.672323333;0.315991318
mcmc;8;200;0.1;0;0;indicators;FALSE;3.176874305;2.46621;1.559560562;0.704682;0.196873365
mcmc;8;400;0.1;0;0;indicators;FALSE;2.943555629;2.30725;1.409977309;0.684281111;0.23747063
mcmc;8;600;0.1;0;0;indicators;FALSE;2.832756895;2.22445;1.346225669;0.670305;0.273788953
mcmc;8;800;0.1;0;0;indicators;FALSE;2.82186075;2.23899;1.352652988;0.674806;0.291367549
mcmc;8;1000;0.1;0;0;indicators;FALSE;2.793774288;2.20697;1.33138453;0.672045;0.299429042
mcmc;8;1200;0.1;0;0;indicators;FALSE;2.793040104;2.20877;1.33254043;0.66994;0.302129477
mcmc;8;1400;0.1;0;0;indicators;FALSE;2.828609661;2.24335;1.357979889;0.67461;0.287016261
mcmc;8;1600;0.1;0;0;indicators;FALSE;2.781813436;2.20181;1.326142618;0.67067087;0.307189794
mcmc;8;1800;0.1;0;0;indicators;FALSE;2.776605146;2.20014;1.32249811;0.667405;0.311110658
mcmc;8;2000;0.1;0;0;indicators;FALSE;2.780187693;2.20012;1.322571743;0.670765;0.309356353
mcmc;10;200;0.1;0;0;indicators;FALSE;3.114474555;2.44056;1.513569426;0.698185;0.196710425
mcmc;10;400;0.1;0;0;indicators;FALSE;2.915360969;2.28921;1.404726236;0.68174;0.25211529
mcmc;10;600;0.1;0;0;indicators;FALSE;2.905640949;2.26261;1.397573125;0.681583636;0.259292985
mcmc;10;800;0.1;0;0;indicators;FALSE;2.951972559;2.29349;1.418844579;0.683928;0.241547266
mcmc;10;1000;0.1;0;0;indicators;FALSE;2.803515582;2.21569;1.338022149;0.672506667;0.295239864
mcmc;10;1200;0.1;0;0;indicators;FALSE;2.792510212;2.19487;1.32787416;0.665680909;0.30432534
mcmc;10;1400;0.1;0;0;indicators;FALSE;2.778313922;2.19556;1.322015141;0.66812;0.312205542
mcmc;10;1600;0.1;0;0;indicators;FALSE;2.779681504;2.19001;1.321469328;0.667029333;0.310328716
mcmc;10;1800;0.1;0;0;indicators;FALSE;2.779979153;2.20086;1.327204146;0.668865;0.312696609
mcmc;10;2000;0.1;0;0;indicators;FALSE;2.766694072;2.19487;1.314632965;0.666513333;0.318214277
mcmc;12;200;0.1;0;0;indicators;FALSE;2.950239997;2.3032;1.42015999;0.680815455;0.240271906
mcmc;12;400;0.1;0;0;indicators;FALSE;2.849088817;2.25691;1.366168149;0.6713775;0.272105163
mcmc;12;600;0.1;0;0;indicators;FALSE;2.831609049;2.22679;1.355394404;0.674786364;0.281693816
mcmc;12;800;0.1;0;0;indicators;FALSE;2.822239148;2.22457;1.347215987;0.67434;0.28704929
mcmc;12;1000;0.1;0;0;indicators;FALSE;2.808047707;2.21447;1.339280419;0.668116;0.298713688
mcmc;12;1200;0.1;0;0;indicators;FALSE;2.788622768;2.20479;1.329191725;0.66798625;0.307691887
mcmc;12;1400;0.1;0;0;indicators;FALSE;2.787099036;2.2045;1.3298736;0.6680175;0.308853453
mcmc;12;1600;0.1;0;0;indicators;FALSE;2.778351384;2.19397;1.320937151;0.668205;0.311995423
mcmc;12;1800;0.1;0;0;indicators;FALSE;2.781129862;2.19215;1.323063265;0.667885;0.310626895
mcmc;12;2000;0.1;0;0;indicators;FALSE;2.777923558;2.18623;1.322315631;0.66893;0.313054669
mcmc;14;200;0.1;0;0;indicators;FALSE;2.933589787;2.32515;1.42417686;0.682255;0.245749785
mcmc;14;400;0.1;0;0;indicators;FALSE;2.933821798;2.29133;1.403374388;0.678834545;0.241068038
mcmc;14;600;0.1;0;0;indicators;FALSE;2.828745081;2.22996;1.357810361;0.669705;0.288501786
mcmc;14;800;0.1;0;0;indicators;FALSE;2.786807836;2.19439;1.325578928;0.66911;0.308193976
mcmc;14;1000;0.1;0;0;indicators;FALSE;2.795264369;2.19566;1.332394457;0.6681;0.30312866
mcmc;14;1200;0.1;0;0;indicators;FALSE;2.785140017;2.19299;1.324892761;0.667518182;0.309214938
mcmc;14;1400;0.1;0;0;indicators;FALSE;2.802081336;2.20836;1.33625699;0.670556923;0.299402784
